source,target,anchor,reason
/guides/app-crash-fix/,/app-crash/,"App Crash","route article to closest hub"
/app-crash/,/guides/app-crash-fix/,"K1 Game App Crash Fix","supporting long-tail guide"
/guides/not-opening/,/login-error/,"Login Error","route article to closest hub"
/login-error/,/guides/not-opening/,"K1 Game Not Opening: Fix Path","supporting long-tail guide"
/guides/login-error-fix/,/otp-problem/,"OTP Problem","route article to closest hub"
/otp-problem/,/guides/login-error-fix/,"K1 Game Login Error Fix","supporting long-tail guide"
/guides/otp-problem-solution/,/network-fix/,"Network Fix","route article to closest hub"
/network-fix/,/guides/otp-problem-solution/,"K1 Game OTP Problem Solution","supporting long-tail guide"
/guides/network-error/,/app-crash/,"App Crash","route article to closest hub"
/app-crash/,/guides/network-error/,"K1 Game Network Error Fix","supporting long-tail guide"
/guides/cache-clear-guide/,/login-error/,"Login Error","route article to closest hub"
/login-error/,/guides/cache-clear-guide/,"Clear Cache for K1 Game App","supporting long-tail guide"
/guides/update-after-crash/,/otp-problem/,"OTP Problem","route article to closest hub"
/otp-problem/,/guides/update-after-crash/,"K1 Game Crashes After Update","supporting long-tail guide"
/guides/reinstall-guide/,/network-fix/,"Network Fix","route article to closest hub"
/network-fix/,/guides/reinstall-guide/,"K1 Game Reinstall Guide","supporting long-tail guide"
/guides/support-evidence/,/app-crash/,"App Crash","route article to closest hub"
/app-crash/,/guides/support-evidence/,"K1 Game Support Evidence Checklist","supporting long-tail guide"
/guides/device-storage/,/login-error/,"Login Error","route article to closest hub"
/login-error/,/guides/device-storage/,"K1 Game Device Storage Problems","supporting long-tail guide"
/guides/fix-faq/,/otp-problem/,"OTP Problem","route article to closest hub"
/otp-problem/,/guides/fix-faq/,"K1 Game Fix Center FAQ","supporting long-tail guide"
/guides/weekly-error-log/,/network-fix/,"Network Fix","route article to closest hub"
/network-fix/,/guides/weekly-error-log/,"Weekly K1 Game Error Log","supporting long-tail guide"
